Custom.Data.position,Custom.Data.salary_min,Custom.Data.salary_max,Custom.Data.experience,Custom.Data.degree,Custom.Data.work_place,Custom.Data.company_name,Custom.Data.company_type,Custom.Data.company_finance,Custom.Data.company_scale,Custom.Data.bonus,Custom.Data.url
DB2\MySQL DBA工程师,10k,20k,经验不限,大专,佛山,百硕,"企业服务,金融",不需要融资,150-500人,五险一金、技术培训、运维开发,https://www.lagou.com/jobs/5537917.html
JAVA/MQ/DB2,15k,30k,经验5-10年,本科,上海,上海中软华腾软件系统有限公司,"企业服务,金融",上市公司,2000人以上,平台大，技术新，薪资open，福利好,https://www.lagou.com/jobs/5880421.html
DBA,20k,40k,经验5-10年,本科,北京,拉勾网,企业服务,D轮及以上,500-2000人,"挑战,机会,技术氛围浓",https://www.lagou.com/jobs/6043843.html
DBA,20k,30k,经验5-10年,本科,北京,中诚信征信,"数据服务,人工智能",不需要融资,150-500人,弹性工作 免费午餐 周五7小时,https://www.lagou.com/jobs/6076674.html
DBA,30k,50k,经验3-5年,大专,深圳,鑫溢网络科技,移动互联网,不需要融资,150-500人,"带薪休假,年终奖,年度旅游",https://www.lagou.com/jobs/5041611.html
dba,18k,28k,经验5-10年,大专,深圳,易佰网络科技,"电商,移动互联网",B轮,2000人以上,入职五险一金 高成长公司,https://www.lagou.com/jobs/6078700.html
DBA（Mysql）,30k,37k,经验5-10年,本科,北京,用友,企业服务,上市公司,2000人以上,五险一金 企业级互联网 核心产品,https://www.lagou.com/jobs/6084490.html
DBA,18k,25k,经验3-5年,本科,杭州,涂鸦智能,"移动互联网,硬件",C轮,500-2000人,行业前景好；技术驱动；团队氛围好,https://www.lagou.com/jobs/6075785.html
DBA,25k,35k,经验5-10年,本科,上海,外资奢侈品电商,电商,上市公司,150-500人,补充公积金，股票，带薪假期,https://www.lagou.com/jobs/6081921.html
DBA（数据库及中间技术）,20k,40k,经验3-5年,本科,北京,东峡大通（北京）管理咨询有限公司,汽车丨出行,D轮及以上,150-500人,团队优秀,https://www.lagou.com/jobs/6088037.html
DBA,35k,70k,经验5-10年,本科,杭州,威斯科技,移动互联网,未融资,50-150人,技术好 薪资高,https://www.lagou.com/jobs/6087378.html
DBA/数据库管理员,10k,15k,经验1-3年,本科,广州,亚美,移动互联网,不需要融资,500-2000人,五险一金 弹性工作制 年终丰富,https://www.lagou.com/jobs/6080603.html
DBA/数据库管理员,15k,25k,经验3-5年,本科,上海,雪球科技,"移动互联网,信息安全",B轮,50-150人,"五险一金 商业保险,活力团队,季度团建",https://www.lagou.com/jobs/5771137.html
DBA,20k,40k,经验3-5年,本科,深圳,网心科技,区块链,未融资,500-2000人,六险一金 福利多多,https://www.lagou.com/jobs/5930148.html
DBA&amp;BI工程师,15k,20k,经验1-3年,本科,北京,华风爱科,"移动互联网,数据服务",不需要融资,15-50人,新的行业，新的起点,https://www.lagou.com/jobs/6078414.html
dba,23k,32k,经验5-10年,本科,上海,CLPS,"数据服务,金融",未融资,500-2000人,五险一金,https://www.lagou.com/jobs/6082285.html
初级DBA,8k,12k,经验1-3年,大专,上海,长投学堂,移动互联网,A轮,150-500人,"季度旅游,年终奖,投资技能,团队年轻",https://www.lagou.com/jobs/6078908.html
DBA（互联网方向）,15k,30k,经验3-5年,本科,杭州,PingCAP,"数据服务,企业服务",C轮,50-150人,餐补、技术氛围、13薪+奖金、零食水果、,https://www.lagou.com/jobs/6088782.html
DBA工程师,15k,25k,经验3-5年,本科,北京,宜信,金融,上市公司,2000人以上,福利完善，老板nice,https://www.lagou.com/jobs/6077416.html
DBA工程师,15k,20k,经验3-5年,大专,上海,证大爱特,"移动互联网,金融",不需要融资,500-2000人,年终奖，绩效奖金，试用期薪资不打折,https://www.lagou.com/jobs/6082338.html
DBA工程师,13k,25k,经验5-10年,本科,广州,数字广东（腾讯投资公司）,移动互联网,不需要融资,500-2000人,"发展空间大,领导好,公司平台广,岗位晋升",https://www.lagou.com/jobs/4947228.html
DBA工程师,15k,30k,经验3-5年,本科,北京,百乘金科集团,金融,上市公司,2000人以上,"带薪年假,,五险一金，地铁周边",https://www.lagou.com/jobs/6084382.html
DBA工程师,10k,20k,经验1-3年,大专,上海,览益信息科技,"金融,移动互联网",不需要融资,500-2000人,福利待遇佳,https://www.lagou.com/jobs/5678223.html
DBA工程师,15k,30k,经验3-5年,大专,上海,华云中盛,"数据服务,移动互联网",不需要融资,500-2000人,"五险一金,年度旅游,年终福利,升职加薪",https://www.lagou.com/jobs/5553660.html
DBA,25k,35k,经验3-5年,本科,北京,ETCP,移动互联网,B轮,500-2000人,期权，弹性工作,https://www.lagou.com/jobs/6081213.html
DBA工程师,12k,20k,经验3-5年,本科,深圳,北京广亿兴业科技发展有限公司深圳分公司,其他,未融资,500-2000人,五险一金、节日福利、年终奖、员工旅游,https://www.lagou.com/jobs/6083555.html
DBA架构师,30k,42k,经验5-10年,本科,北京,若安咨询,移动互联网,未融资,15-50人,上市公司，平台大福利好，团队技术实力雄厚,https://www.lagou.com/jobs/6079777.html
DBA,18k,36k,经验3-5年,本科,上海,收钱吧,移动互联网,C轮,500-2000人,"平台大,牛人多,福利好",https://www.lagou.com/jobs/4616111.html
DBA,20k,30k,经验3-5年,本科,杭州,喜兔,"电商,社交",不需要融资,150-500人,福利好，前景好，扁平化，年终奖,https://www.lagou.com/jobs/5940186.html
DBA（oracle/mysql）,15k,30k,经验3-5年,本科,上海,泛微,"移动互联网,企业服务",上市公司,2000人以上,包三餐,https://www.lagou.com/jobs/5954363.html
DBA,30k,50k,经验5-10年,本科,上海,诺誉投资,"移动互联网,金融",B轮,150-500人,面试流程快，薪资open，15薪+,https://www.lagou.com/jobs/5925311.html
dba,20k,35k,经验3-5年,本科,北京,跟谁学,"移动互联网,教育",上市公司,2000人以上,"弹性工作,六险一金,餐补饭补,带薪年假",https://www.lagou.com/jobs/6024534.html
DBA工程师,15k,30k,经验3-5年,本科,深圳,华云中盛,"数据服务,移动互联网",不需要融资,500-2000人,牛X办公大楼，星级办公环境，高大上健身房,https://www.lagou.com/jobs/5243659.html
DBA,20k,35k,经验3-5年,大专,上海,宝尊电商,企业服务,上市公司,2000人以上,电商发展 自动化平台运维,https://www.lagou.com/jobs/5333762.html
dba,18k,25k,经验3-5年,大专,成都,天傲网络科技,移动互联网,不需要融资,50-150人,全勤奖 节日福利 周末双休  弹性上班,https://www.lagou.com/jobs/5860451.html
ZNXT-DBA,15k,30k,经验3-5年,本科,广州,酷狗音乐,文娱丨内容,上市公司,500-2000人,"年终奖,发展空间大,员工旅游,绩效奖金",https://www.lagou.com/jobs/4589762.html
DBA,15k,30k,经验3-5年,本科,杭州,上上签,"移动互联网,企业服务",C轮,150-500人,开放自由、扁平管理 、C轮融资、Geek,https://www.lagou.com/jobs/5669948.html
DBA,25k,35k,经验3-5年,本科,杭州,心理壹点灵,"移动互联网,医疗丨健康",A轮,150-500人,绩效奖金 年终分红 股票期权,https://www.lagou.com/jobs/5797007.html
DBA,15k,20k,经验1-3年,本科,北京,晶泰科技,企业服务,B轮,50-150人,五险一金，公司大牛多，发展空间大,https://www.lagou.com/jobs/5572415.html
DBA（北京）,15k,25k,经验3-5年,本科,北京,东华,"企业服务,数据服务",上市公司,2000人以上,上市公司、五险一金、年终奖,https://www.lagou.com/jobs/5924243.html
DBA,15k,30k,经验5-10年,本科,杭州,彩虹鱼科技,企业服务,不需要融资,150-500人,自研发技术实力，广阔的学习与成长平台,https://www.lagou.com/jobs/5557220.html
DBA,7k,10k,经验1-3年,本科,西安,易流,移动互联网,不需要融资,500-2000人,"友好团队,快速成长,员工旅游,餐补",https://www.lagou.com/jobs/5777583.html
DBA,20k,30k,经验5-10年,本科,上海,驴妈妈旅游网,"电商,旅游",D轮及以上,2000人以上,发展空间大 领导好,https://www.lagou.com/jobs/5905374.html
DBA,10k,20k,经验3-5年,本科,成都,网信天成,"移动互联网,电商",不需要融资,15-50人,"周末双休,购买社保,发展空间大,加班调休",https://www.lagou.com/jobs/6040216.html
DBA,25k,50k,经验3-5年,本科,北京,诺誉投资,"移动互联网,金融",B轮,150-500人,面试流程快，薪资open,https://www.lagou.com/jobs/5854625.html
dba,20k,25k,经验3-5年,本科,深圳,热璞科技,"企业服务,数据服务",B轮,50-150人,"福利待遇优,氛围好，公司发展前景好",https://www.lagou.com/jobs/5717689.html
dba,10k,18k,经验1-3年,本科,广州,亚美,移动互联网,不需要融资,500-2000人,双休 年终丰厚 绩效奖金,https://www.lagou.com/jobs/6008388.html
DBA,20k,40k,经验3-5年,本科,杭州,喜兔,"电商,社交",不需要融资,150-500人,五险一金 餐费补贴 通讯补贴,https://www.lagou.com/jobs/5920590.html
DBA（oracle）,18k,36k,经验5-10年,本科,上海,圆通,物流丨运输,上市公司,2000人以上,上市公司，高速发展，平台广阔，晋升平台,https://www.lagou.com/jobs/5361554.html
DBA,20k,25k,经验3-5年,本科,北京,热璞科技,"企业服务,数据服务",B轮,50-150人,"福利多,氛围好",https://www.lagou.com/jobs/4983142.html
DBA,20k,30k,经验3-5年,本科,深圳,强时科技,"移动互联网,电商",不需要融资,50-150人,"注重实力,绩效激励,团队活力,项目创新",https://www.lagou.com/jobs/5996481.html
DBA（MYSQL）,15k,20k,经验5-10年,本科,武汉,高阳捷迅,电商,未融资,500-2000人,央企/餐补/双休,https://www.lagou.com/jobs/5700341.html
DBA,10k,20k,经验1-3年,本科,杭州,小泰科技,金融,不需要融资,150-500人,"帅哥美女多,五险一金,弹性工作,年终奖",https://www.lagou.com/jobs/5645014.html
DBA（MySQL）(J10345),30k,50k,经验3-5年,本科,北京,好大夫在线,医疗丨健康,D轮及以上,500-2000人,"五险一金,年底双薪,定期体检,发展空间",https://www.lagou.com/jobs/5980028.html
DBA,20k,40k,经验5-10年,本科,北京,松果出行,消费生活,C轮,150-500人,有竞争力的薪资，小而美，技术棒，福利好,https://www.lagou.com/jobs/5998396.html
DBA（数据库管理员）,15k,30k,经验3-5年,大专,杭州,e签宝,企业服务,B轮,150-500人,"团队逗比多,期权,漂亮小姐姐,横向",https://www.lagou.com/jobs/4452402.html
DBA,15k,20k,经验5-10年,本科,北京,舟恩信息,移动互联网,不需要融资,150-500人,大平台 稳定,https://www.lagou.com/jobs/5942759.html
DBA(J10652),10k,15k,经验3-5年,本科,厦门,朗新科技,"移动互联网,企业服务",上市公司,2000人以上,六险一金 带薪年假 年度体检 周末双休,https://www.lagou.com/jobs/6028491.html
DBA（数据管理员）,10k,16k,经验3-5年,大专,成都,生学教育,"移动互联网,教育",A轮,150-500人,"五险一金,带薪年假,弹性工作,扁平管理",https://www.lagou.com/jobs/4167012.html
DBA,15k,25k,经验3-5年,本科,深圳,喜茶,"移动互联网,消费生活",B轮,2000人以上,待遇好，平台大，氛围好,https://www.lagou.com/jobs/6051328.html
DBA,18k,30k,经验3-5年,不限,杭州,威斯科技,移动互联网,未融资,50-150人,大牛多，技术氛围好，平台空间大,https://www.lagou.com/jobs/5844624.html
DBA,20k,40k,经验3-5年,本科,北京,车好多集团,消费生活,D轮及以上,2000人以上,领导好　股票期权　奖金多　靠谱CEO,https://www.lagou.com/jobs/5776702.html
DBA,15k,30k,经验1-3年,本科,深圳,房多多,"移动互联网,消费生活",C轮,2000人以上,五险一金 餐补 晋升空间,https://www.lagou.com/jobs/5761317.html
